b'id',b'key',b'value',b'type'
b'65477244',b'highway',b'turning_circle',b'regular'
b'65477594',b'railway',b'level_crossing',b'regular'
b'65477613',b'railway',b'level_crossing',b'regular'
b'65477620',b'name',b'California Avenue',b'regular'
b'65477620',b'network',b'Caltrain',b'regular'
b'65477620',b'operator',b'Peninsula Corridor Joint Powers Board',b'regular'
b'65477620',b'public_transport',b'stop_position',b'regular'
b'65477620',b'railway',b'stop',b'regular'
b'65477620',b'train',b'yes',b'regular'
b'65477641',b'barrier',b'full',b'crossing'
b'65477641',b'railway',b'level_crossing',b'regular'
b'65477660',b'barrier',b'double_half',b'crossing'
b'65477660',b'railway',b'level_crossing',b'regular'
b'65478235',b'highway',b'stop',b'regular'
b'65478235',b'stop',b'all',b'regular'
b'65478438',b'highway',b'turning_circle',b'regular'
b'65480761',b'direction',b'forward',b'regular'
b'65480761',b'highway',b'stop',b'regular'
b'65480761',b'stop',b'minor',b'regular'
b'65480761',b'traffic_sign',b'stop',b'regular'
b'65481532',b'highway',b'stop',b'regular'
b'65481532',b'stop',b'all',b'regular'
b'65481541',b'highway',b'priority',b'regular'
b'65481547',b'highway',b'stop',b'regular'
b'65481547',b'stop',b'all',b'regular'
b'65481577',b'highway',b'priority',b'regular'
b'65481578',b'crossing',b'uncontrolled',b'regular'
b'65481578',b'crossing_ref',b'zebra',b'regular'
b'65481578',b'highway',b'crossing',b'regular'
b'65481578',b'kerb',b'lowered',b'regular'
b'65481588',b'direction',b'backward',b'regular'
b'65481588',b'highway',b'stop',b'regular'
b'65481588',b'traffic_sign',b'stop',b'regular'
b'65481600',b'highway',b'stop',b'regular'
b'65481600',b'stop',b'all',b'regular'
b'65481615',b'direction',b'backward',b'regular'
b'65481615',b'highway',b'stop',b'regular'
b'65481615',b'traffic_sign',b'stop',b'regular'
b'65482042',b'highway',b'turning_circle',b'regular'
b'65483815',b'highway',b'turning_circle',b'regular'
b'65484358',b'highway',b'mini_roundabout',b'regular'
b'65485277',b'highway',b'priority',b'regular'
b'65485699',b'highway',b'turning_circle',b'regular'
b'65485757',b'highway',b'turning_circle',b'regular'
b'65487135',b'highway',b'priority',b'regular'
b'65487169',b'highway',b'turning_circle',b'regular'
b'65487409',b'highway',b'turning_circle',b'regular'
b'65487653',b'highway',b'turning_circle',b'regular'
b'65487855',b'highway',b'stop',b'regular'
b'65487855',b'stop',b'all',b'regular'
b'65487971',b'highway',b'turning_circle',b'regular'
b'65489065',b'highway',b'turning_circle',b'regular'
b'65489087',b'highway',b'turning_circle',b'regular'
b'65489095',b'highway',b'priority',b'regular'
b'65489284',b'highway',b'stop',b'regular'
b'65489284',b'stop',b'all',b'regular'
b'65489734',b'highway',b'priority',b'regular'
b'65490872',b'highway',b'priority',b'regular'
b'65491909',b'highway',b'turning_circle',b'regular'
b'65491912',b'highway',b'turning_circle',b'regular'
b'65492993',b'highway',b'turning_circle',b'regular'
b'65493922',b'highway',b'turning_circle',b'regular'
b'65494164',b'highway',b'traffic_signals',b'regular'
b'65494600',b'highway',b'turning_circle',b'regular'
b'65495086',b'lane:both',b'parallel',b'parking'
b'65495682',b'highway',b'priority',b'regular'
b'65495683',b'highway',b'priority',b'regular'
b'65495686',b'highway',b'traffic_signals',b'regular'
b'65495688',b'highway',b'traffic_signals',b'regular'
b'65495691',b'highway',b'traffic_signals',b'regular'
b'65495694',b'highway',b'traffic_signals',b'regular'
b'65495696',b'highway',b'traffic_signals',b'regular'
b'65495698',b'highway',b'traffic_signals',b'regular'
b'65495703',b'highway',b'priority',b'regular'
b'65495707',b'highway',b'priority',b'regular'
